Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
AEISS-A,Advanced Electronic Image Scanning System-A,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"KARI (ASTRIUM, DLR)",Being developed,High resolution optical imagers,High resolution optical imager,High resolution imager for land applications of cartography and disaster monitoring.,"Panchromatic VIS: 0.50 - 0.90 µm, VIS: 0.45 - 0.52 µm, 0.52 - 0.60 µm, 0.63 - 0.69 µm, NIR: 0.76 - 0.90 µm","VIS, NIR, MWIR","Pan: 0.8 m, VNIR: 4 m, IR: 5.5m",0.8,15 km,,Very Constrained Access,GEOTIF
AEM,Airborne Electromagnetic Profiler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
AEPI,Atmospheric Emissions Photometric Imaging,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
AERI,Atmospheric Emitted Radiance Interferometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,Interferometers,,,,,,,,,,,,,
AEROSOL COLLECTORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Grabbers/Traps/Collectors,,,,,,,,,,,,,,
AEROSOL MONITOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
AEROSOL/CLOUD PARTICLE SIZER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
AEROVANES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Current/Wind Meters,,,,,,,,,,,,,,,
AERS,Atmospheric/Emitted Radiation Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
AES,Atmospheric Emission Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
AETHALOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
AGASSIZ TRAWL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
AHF,AIRBORNE HEIGHT FINDER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
