Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
SNOWPACK TEMPERATURE PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
SODAR,Sound Detection and Ranging,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
SODISM,SOlar Diameter Imager and Surface Mapper,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Earth radiation budget radiometers,Solar irradiance monitor,Measures diameter and differential rotation of the sun - a whole Sun imager.,"UV: 230 nm, VIS: 548 nm, Active regions: 160 nm plus Lyman alpha detector","UV, VIS",,,,,,
SOFIA,STRATOSPHERIC OBSERVATORY FOR INFRARED ASTRONOMY,GCMD Instruments - Revision: 2014-08-28 16:20:21,Visible/Infrared Instruments,,,,,,,,,,,,,,,
SOFIE,Solar Occultation for Ice Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
SOIL DEPTH PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
SOIL HEAT FLUX TRANSDUCER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,,,,,,,,,,,,,,,
SOIL HEAT PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
SOIL MOISTURE PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
SOIL PRESSURE PLATE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
SOIL SAMPLER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Grabbers/Traps/Collectors,,,,,,,,,,,,,,
SOIL TEMPERATURE PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
SOLAR SIMULATORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Radiation Sensors,,,,,,,,,,,,,,,
SOLAR TELESCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
SOLAR UV SPECTROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SOLARIMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
SOLCON,Measurement of the Solar Constant,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SOLSPEC,Solar Spectrum Measurement,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SOLSTICE,SOLar STellar Irradiance Comparison Experiment,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Earth radiation budget radiometers,Solar irradiance monitor,"Data on UV and charged particle energy inputs, and on time variation of full-disk solar UV spectrum. Measures solar UV radiation (115 - 430 nm) with resolution of 0.12 nm. Compares solar UV output with UV radiation of stable bright blue stars.",UV: 115 - 180 nm and 170 - 320 nm,UV,,,,1%,Open Access,Native UARS format. SOLSTICE data file structures are presented in the Standard Formatted Data Units (SFDU)
SOLSTICE,Solar-Stellar Irradiance Comparison Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SOMMA,Single Operator Multiparameter Metabolic Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
SONAR,Sound Navigation and Ranging,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
SONIC ANEMOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Current/Wind Meters,,,,,,,,,,,,,,,
SONOBUOYS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
SOON SOLAR TELESCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
SOPA,Synchronous Orbit Particle Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
SOSUS,Sound Surveillance System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
SOT,SOLAR OPTICAL TELESCOPE (HINODE),GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
Sounder,Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Atmospheric temperature and humidity sounders,Narrow-band channel IR radiometer,Atmospheric soundings and data on atmospheric stability and thermal gradient winds.,VIS - TIR: 19 channels,"VIS, NIR, SWIR, MWIR, TIR",10 km,,Horizon to horizon,,,
Sounder (INSAT),IR Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,Atmospheric temperature and humidity sounders,Narrow-band channel IR radiometer,"Atmospheric soundings, atmospheric stability, thermal gradient winds.",SWIR: 3.74 - 4.74 µm; MWIR: 6.51 - 11.03 µm; TIR: 12.02 - 14.71 µm; VIS: 0.55 - 0.75 µm,"VIS, MWIR, TIR",10 x 10 km,,"Full (Full Earth disc sounding), Program (Options provided for for Sector Scans)",,Constrained Access,
SOUNDERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
SOUP,Solar Optical Universal Polarimeter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Visible/Infrared Instruments,,,,,,,,,,,,,,,
SOVAP,SOlar Variability Picard radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Earth radiation budget radiometers,Solar irradiance monitor,Total solar irradiance measurements.,Total irradiance,"TBD, N/A",,,,,,
SPACE RADIATION DOSIMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
SPEA,Solar Plasma Electrostatic Analyzer (IMP-8),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SPECIFIC ION METERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
SPECTROGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
SPECTROHELIOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,,
Spectrometer (OCO-2),Spectrometer (OCO-2),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Being developed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,Global measurements of atmospheric CO2 needed to describe the variability of CO2 sources and sinks.,"0.76 µm, 1.61 µm, 2.06 µm",SWIR,"2.25 km downtrack, variable cross-track",,Varies from 0.1 km at the sub-solar latitude to 10.6 km at terminators,Provide the data needed to yield single sounding estimates of XCO2 with one sigma errors of <= 2 ppm,Open Access,HDF
Spectrometer (OCO-3),Spectrometer (OCO-3),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (JAXA),Being developed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,Global measurements of atmospheric CO2 needed to describe the variability of CO2 sources and sinks.,"0.765 µm, 1.61 µm, 2.06 µm",SWIR,2.25 km downtrack by 0.7 km cross-track,,Soundings ≤ 3 km2 in area during Nadir Observation,provide single sounding estimates of XCO2 with one sigma errors of <= 2 ppm,Open Access,HDF
Spectrometer (TEMPO),Spectrometer (TEMPO),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Being developed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,"Hourly measurements of air pollution over North America, from Mexico City to the Canadian oil sands, at high spatial resolution. Measurements in ultraviolet and visible wavelengths will provide a suite of products including the key elements of tropospheric air pollution chemistry. Will be part of the first global geostationary constellation for pollution monitoring, along with European and Korean missions now in development.",290 to 750 nm (TBC),"UV, VIS","2 km by 4.5 km at at geodetic location 36.5° N, 100° W",4500,From 18 degrees N to 58 degrees N,"Precisions include tropospheric O3 to 10 ppbv in 1 hour, tropospheric NO2 to 1x1015 molecules cm-2 in 1 hour, tropospheric H2CO to 1x1016 molecules cm-2 in 3 hours, tropospheric SO2 to 1x1016 molecules cm-2 in 3 hours, and aerosol optical depth to 0.10 in 1 hour, all geo-located to an accuracy of 4 km.",Open Access,TBD
SPECTROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
SPECTROPHOTOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
SPECTRORADIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectroradiometers,,,,,,,,,,,,,
SPFC,Solar Plasma Faraday Cup (IMP-8),GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
SPIN-SCAN AURORAL IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,,
SPMAMI,Suspended Particulate Matter Automatic Measuring Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
SPOL,NCAR S-band Polarimetric Doppler Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
SPRING BALANCE,SPRING BALANCE,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
SR,Scanning Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
SRAL,SAR Radar Altimeter,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA (EC),Approved,Radar altimeters,Radar altimeter,Marine and land services.,"Dual freq radar altimeter, Ku-band, C-band","MW, Ku-Band, C-Band",300 m,300,Profiling,"3 cm in range (1 s average, 2 m SWH including atm. corrections)",Open Access,
SREM,Space Radiation Environment Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
SRTM,Shuttle Radar Topography Mission,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
SSALT,POSEIDON Solid State Radar Altimeter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
SSB/O,Remote X-Ray Sensor - Precipitating Electrons (SSB/O),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SSB/S,X-Ray Detector (SSB/S),GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
SSB/X,Advanced X-Ray Detector (SSB/X),GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
SSB/X-2,Special Sensor Gamma Ray Particle Detector,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Space environment,Space environment monitor,"Detects the location, intensity, and spectrum of X-rays emitted from the Earth's atmosphere.",,TBD,,,,,,
SSB/X2,Advanced X-Ray Detector (SSB/X2),GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
SSBUV,Shuttle Solar Backscatter Ultraviolet,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SSC,Snow/Cloud Discriminator Special Sensor C,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
SSCC,Spin Scan Cloud Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
SSD,Atmospheric Density Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SSFR,Solar Spectral Flux Radiometers,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
SSH-2,Infrared Temperature and Moisture Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
SSI/E,Ionospheric Plasma Monitor (SSI/E),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SSI/ES,Special Sensor Ionospheric Plasma Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SSI/ES-2,Special Sensor Ionospheric Plasma Drift/Scintillation Meter,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Space environment,Space environment monitor,"Measurement of the ambient electron density and temperatures, the ambient ion density, and ion temperature and molecular weight.",,TBD,,,,,,
SSI/ES-3,Special Sensor Ionospheric Plasma Drift/Scintillation Meter,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Space environment,Space environment monitor,"Measurement of the ambient electron density and temperatures, the ambient ion density, and ion temperature and molecular weight.",,TBD,,,,,,
SSI/ES2,Special Sensor Ionospheric Plasma Monitor 2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SSIES,Ion Scintallation Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
SSJ,Electron Spectrometer Special Sensor J (SSJ),GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
SSJ/4,Precipitating Electron/Ion Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SSJ/4,Special Sensor Precipitating Plasma Monitor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Magnetic field,Space environment monitor,"Measurement of transfer energy, mass, and momentum of charged particles through the magnetosphere-ionosphere in the Earth's magnetic field.",,TBD,,,,,,
SSJ/5,Special Sensor Precipitating Plasma Monitor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Magnetic field,Space environment monitor,"Measurement of transfer energy, mass, and momentum of charged particles through the magnetosphere-ionosphere in the Earth's magnetic field.",,TBD,,,,,,
SSM,Special Sensor Magnetometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Magnetic field,Magnetometer,Measures geomagnetic fluctuations associated with solar geophysical phenomena. With SSIES and SSJ provides heating and electron density profiles in the ionosphere.,,TBD,,,,,,
SSM,Special Sensor Magnetometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
SSM/I,Special Sensor Microwave Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,"Measures atmospheric, ocean and terrain microwave brightness temperatures to provide: sea surface winds, rain rates, cloud water, precipitation, soil moisture, ice edge, ice age.","Microwave: 19.35 GHz, 22.235 GHz, 37 GHz, 85 GHz",MW,15.7 x 13.9 km to 68.9 x 44.3 km (depends on frequency),,1400 km,,,
SSM/IS,Special Sensor Microwave Imager Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Atmospheric temperature and humidity sounders,Multi-purpose imaging MW radiometer,"Measures thermal microwave radiation. Global measurements of air temp profile, humidity profile, ocean surface winds, rain overland/ocean, ice concentration/age, ice/snow edge, water vapour/clouds over ocean, snow water content, land surface temperature.",Microwave: 19 - 183 GHz (24 frequencies),MW,Varies with frequency: 25 x 17 km to 70 x 42 km,,1700 km,,,
SSM/T,Special Sensor Microwave/Temperature,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
SSM/T-1,Special Sensor Microwave Temperature Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,Measures Earth's surface and atmospheric emission in the 50 - 60 GHz oxygen band.,Microwave: 7 channels in the 50 - 60 GHz range,MW,174 km diameter beam,,1500 km,,,
SSM/T-2,Special Sensor Microwave Water Vapor Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,Water vapour profiler.,"Microwave: 91.6, 150, 183.31 (3 channels) (Total 5 channels)",MW,Approx 48 km,,1500 km,,,
SSM/T-2,Special Sensor Microwave/Temperature Profiler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
SSMI,Special Sensor Microwave/Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
SSMIS,Special Sensor Microwave Imager/Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
SSTI,Satellite-to-Satellite Tracking Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
SSU,Stratospheric Sounding Unit,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
SSULI,Special Sensor Ultraviolet Limb Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Space environment,Space environment monitor,"Measures vertical profiles of the natural airglow radiation from atoms, molecules and ions in the upper atmosphere and ionosphere.",,TBD,,,,,,
SSULI,Special Sensor Ultraviolet Limb Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
SSUSI,Special Sensor Ultraviolet Spectrographic Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Space environment,Space environment monitor,"Monitors the composition and structure of the upper atmosphere and ionosphere, as well as auroral energetic particle inputs, with spectrographic imaging and photometry.",,TBD,,,,,,
STAFF,Spatio-Temporal Analysis of Field Fluctuation Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
STC,"Salinity, Temperature , Conductivity",GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
STD,"Salinity, Temperature, Depth",GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
STEEL MEASURING TAPE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
STEP FREQUENCY RADIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
STICS,SupraThermal Ion Composition Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
STILLING WELL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
STOKES POLARIMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
STR,Star Tracker Set (3),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA,Being developed,Precision orbit,Star tracker,Precise attitude determination from the combination of two or three star trackers.,N/A,N/A,<1 arcsec,,N/A,< 3 arcsec pointing accuracy around all STR axes,Open Access,
STRAIN GAUGE WHEATSTONE BRIDGE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
STRAIN METER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
STREAM GAUGES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
STRIPPING VOLTAMMETRY,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
STS,Step Sampler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
SUMER,Solar Ultraviolet Measurements of Emitted Radiation,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SUN PHOTOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
SUNFLECK CEPTOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Radiation Sensors,Ceptometers,,,,,,,,,,,,,,
SUNSHINE RECORDERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
SUPERCONDUCTING GRAVIMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic/Motion Sensors,Gravimeters,,,,,,,,,,,,,,
SUPERSTAR,Space Triaxial Accelerometer for Research Missions,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radar,,,,,,,,,,,,,
SURVEYING TOOLS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
SUSIM,Solar Ultraviolet Spectral Irradiance Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
SUVI,Solar Ultraviolet Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Being developed,Other,Solar irradiance monitor,"The SUVI will monitor the entire dynamic range of solar x-ray features, including coronal holes and solar flares, and will provide quantitative estimates of the physical conditions in the Sun’s atmosphere.",,,,,,,,
SWAN,Solar Wind Anisotropies,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SWAVES,STEREO WAVES,GCMD Instruments - Revision: 2014-08-28 16:20:21,Radio Wave Detectors,,,,,,,,,,,,,,,
SWE,Solar Wind Experiment (WIND),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SWEPAM,"Solar Wind Electron, Proton, and Alpha Monitor",GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SWICS,Solar Wind Ion Composition Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SWICS-U,Solar Wind Ion Composition Spectrometer (Ulysses),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SWIM,Surface Waves Investigation and Monitoring,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Approved,,,,,,,,,,,
SWIMS,Solar Wind Ion Mass Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SWIR,Short Wavelength Infrared Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
SWMS,Surface Water Monitoring System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
SWOOPS,Solar Wind Plasma Experiment (Ulysses),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
SXI,Solar X-ray Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (USAF),Operational,Space environment,Space environment monitor,"Obtains data on structure of solar corona. Full disk imagery also provides warnings of geomagnetic storms, solar flares, and information on active regions of sun and filaments.",,UV,,,,,,
SXI,SOLAR X-RAY IMAGER,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
SXM,Solar X-Ray Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
SXM-2,Multichannel Sun Photometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
SXP,SOLAR X-RAY PHOTOMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
SXT,Soft X-ray Telescope,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
TANSO-CAI,Thermal And Near infrared Sensor for carbon Observation - Cloud and Aerosol Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"JAXA (MOE (Japan), NIES (Japan))",Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Detection and correction of cloud and aerosol for TANSO-FTS.,"0.380 µm, 0.674 µm, 0.870 µm, 1.60 µm","UV, VIS, NIR, SWIR","0.5 km (0.380, 0.674, 0.870 µm bands), 1.5 km (1.62 µm band)",500,"1000 km (0.380 µm, 0.678 µm, 0.870 µm bands), 750 km (1.62 µm band)",,Open Access,HDF5
TANSO-CAI,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
TANSO-CAI-2,Thermal And Near infrared Sensor for carbon Observation - Cloud and Aerosol Imager-2,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"JAXA (MOE (Japan), NIES (Japan))",Proposed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Detection and correction of cloud and aerosol for TANSO-FTS, NO2, aerosol characteristics","0.380-0.450 µm, 0.674 µm, 0.870 µm","UV, VIS, NIR","1 km (0.380-0.450 (1 nm step imaging spectrometer), 0.674, 0.870 µm bands)",1000,1000 km (Imaging Spectrometer Capability),,Open Access,HDF5
TANSO-FTS,Thermal And Near Infrared Sensor For Carbon Observation,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
